A,State,Week,"West Nile virus disease†, Neuroinvasive","West Nile virus disease†, Nonneuroinvasive","Zika virus disease, non-congenital","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable",Tetanus,Varicella morbidity,"Spotted Fever Rickettsiosis, Confirmed","Spotted Fever Rickettsiosis, Probable","Syphilis, primary and secondary",Salmonellosis (excluding Paratyphoid fever andTyphoid fever)†,Shiga toxin-producing Escherichia coli,Shigellosis,"Rabies, animal",Rubella,"Rubella, congenital syndrome","Meningococcal disease, all serogroups",Mumps,Pertussis,Legionellosis,Malaria,"Invasive Pneumococcal Disease, Age LT 5†, Confirmed","Invasive Pneumococcal Disease, Age LT 5†, Probable","Invasive Pneumococcal Disease, all ages†, Confirmed","Invasive Pneumococcal Disease, all ages†, Probable","Hepatitis (viral, acute, by type)†, C, Confirmed","Hepatitis (viral, acute, by type)†, C, Probable","Hepatitis (viral, acute, by type)†, A","Hepatitis (viral, acute, by type)†, B","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis",Giardiasis,Gonorrhea,"Haemophilus influenzae, invasive disease (all ages, all serotypes)","Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection","Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",Cryptosporidiosis,"Dengue Virus Infections, Dengue†","Dengue Virus Infections, Severe Dengue",Chlamydia trachomatis infection,Coccidioidomycosis,"Carbapenemase-producing carbapenem-resistant Enterobacteriaceae †, Klebsiella spp.","Carbapenemase-producing carbapenem-resistant Enterobacteriaceae †, Escherichia coli","Carbapenemase-producing carbapenem-resistant Enterobacteriaceae †, Enterobacter spp.",Babesiosis,Campylobacteriosis,Total,Population_Density(km²),GDP,TAVE,AVE_TMIN,AVE_TMAX,DATE,TAVE_D,AVE_TMIN_D,AVE_TMAX_D,Glaciers,Locales,Beaches,Areas,Lakes,Streams,Swamps,Forests,Plains,Woods,"Agriculture, forestry, fishing, and hunting","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,Finance and insurance,Colors
30,NEW MEXICO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,1,20,6.6518,41619,4.6799,-2.7406,12.1003,,2.1368,-6.3385,10.6121,0,1047,41,0,369,1394,68,17,0,6,1,0,1,1,1,1,1,1,1,1,1,
31,NEW YORK,1,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,2,57,0,0,0,0,0,0,246,0,0,0,0,0,2,320,162.4307,65220,2.9122,-1.8027,7.6271,,-6.1128,-9.7509,-2.4746,0,7030,1,183,826,1936,14,36,6,1,1,0,1,1,1,1,1,1,1,1,1,
32,NORTH CAROLINA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,82.3563,44706,10.4839,5.3848,15.5829,,5.6986,1.0619,10.3352,0,3739,23,44,220,2335,21,13,14,4,1,1,1,1,1,1,1,1,1,1,1,
33,NORTH DAKOTA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.2275,64311,-3.9552,-9.6002,1.6899,,-19.0258,-24.3211,-13.7304,0,6071,138,23,3337,4422,417,64,1,16,0,0,1,1,1,1,1,1,1,1,0,
34,OHIO,1,0,0,0,0,0,0,12,0,0,0,0,4,12,0,0,0,1,0,10,2,1,3,0,63,0,3,0,1,1,0,0,4,191,7,0,0,6,0,0,465,0,0,0,0,0,24,810,110.2688,48188,3.9962,-2.5669,10.5592,,-4.323,-8.1553,-0.4907,0,4957,12,51,361,4244,83,28,0,20,1,0,1,1,1,1,1,1,1,1,1,
35,OKLAHOMA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1568,44535,8.7842,1.4185,16.1499,,-1.1945,-5.2487,2.8598,0,1102,2,6,199,3347,7,2,0,0,1,1,1,1,1,1,1,1,1,1,0,
36,OREGON,1,0,0,0,1,1,0,0,0,0,2,0,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,103,2,0,0,3,0,0,324,0,0,0,0,0,10,458,16.4806,51312,1.3861,-2.7614,5.5336,,-0.0901,-3.6223,3.4421,37,7769,51,143,1810,12052,179,35,17,7,1,1,1,1,1,1,1,1,1,1,1,
37,PENNSYLVANIA,1,0,0,0,0,0,0,4,0,0,1,0,1,1,0,0,0,0,0,2,2,0,1,0,9,2,0,2,1,1,0,0,4,153,2,0,0,6,0,0,534,0,0,0,0,0,11,737,110.4811,51841,3.2973,-2.5665,9.161,,-2.9057,-6.6999,0.8885,0,4765,5,100,525,7039,206,34,0,7,1,1,1,1,1,1,1,1,1,1,1,
38,RHODE ISLAND,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,392.3548,48314,4.6879,-0.69,10.0657,,-2.6079,-6.0514,0.8357,0,493,93,6,256,288,65,2,0,6,1,0,1,1,1,1,1,1,1,1,1,
39,SOUTH CAROLINA,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,65.2567,37637,12.9007,7.1764,18.625,,8.2445,3.2102,13.2787,0,1896,25,11,461,3676,515,7,0,2,1,1,1,1,1,1,1,1,1,1,1,
40,SOUTH DAKOTA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4.4662,48004,-1.2814,-7.7461,5.1834,,-14.955,-20.1234,-9.7866,0,1631,1,17,508,1490,30,4,1,5,1,1,1,1,1,1,1,1,1,1,1,
41,TENNESSEE,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,1,1,0,0,1,0,3,0,0,1,0,0,0,0,0,44,0,0,0,2,0,0,105,0,0,0,0,0,0,165,63.5357,44348,8.6669,2.0834,15.2503,,3.1341,-1.405,7.6731,0,3320,4,15,408,9850,44,15,2,6,1,1,1,1,1,1,1,1,1,1,1,
42,TEXAS,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,8,42.3336,53737,13.5154,7.9245,19.1063,,7.1761,1.9912,12.361,0,8308,25,27,1847,11463,204,9,7,17,1,1,1,1,1,1,1,1,1,1,1,
43,UTAH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,24,0,0,0,0,0,0,82,0,0,0,0,0,0,111,14.85,45943,-0.9931,-7.7836,5.7975,,-1.5655,-7.9882,4.8573,1,1985,9,124,864,2429,11,16,45,31,1,1,1,1,1,1,1,1,1,1,1,
44,VERMONT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,26.8636,44831,0.5138,-3.3976,4.4252,,-10.2542,-14.6762,-5.8322,0,4166,31,14,110,7303,150,13,0,9,1,1,1,1,1,1,1,1,1,1,1,
