"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-06","9.7",",,U","19.4","H,,U","1.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-07","13.1",",,U","21.7","H,,U","5.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-08","14.8",",,U","20.6","H,,U","8.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-09","13.3",",,U","20.6","H,,U","6.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-10","12.1",",,U","18.3","H,,U","7.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-11","12.8",",,U","21.7","H,,U","4.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-12","14.9",",,U","21.1","H,,U","7.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-13","13.7",",,U","16.7","H,,U","9.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-14","10.0",",,U","15.6","H,,U","5.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-15","8.2",",,U","12.2","H,,U","2.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-16","8.9",",,U","14.4","H,,U","5.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-17","8.3",",,U","14.4","H,,U","2.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-18","7.7",",,U","13.9","H,,U","0.0","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-19","9.9",",,U","17.2","H,,U","1.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-20","10.1",",,U","14.4","H,,U","7.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-21","13.2",",,U","17.8","H,,U","9.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-22","13.6",",,U","17.2","H,,U","6.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-23","10.1",",,U","15.6","H,,U","3.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-24","8.4",",,U","13.9","H,,U","3.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-25","9.1",",,U","16.1","H,,U","3.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-26","12.2",",,U","19.4","H,,U","3.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-27","18.2",",,U","25.6","H,,U","12.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-28","20.4",",,U","28.3","H,,U","13.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-29","20.3",",,U","30.0","H,,U","11.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-30","17.5",",,U","27.2","H,,U","8.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-31","17.3",",,U","26.7","H,,U","9.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-01","18.2",",,U","26.7","H,,U","8.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-02","16.8",",,U","25.6","H,,U","9.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-03","16.8",",,U","26.1","H,,U","5.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-04","17.1",",,U","23.3","H,,U","9.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-05","16.0",",,U","18.9","H,,U","14.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-18","13.4",",,U","19.4","H,,U","5.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-19","13.7",",,U","22.8","H,,U","3.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-20","18.7",",,U","28.9","H,,U","7.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-21","19.2",",,U","28.9","H,,U","8.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-22","20.1",",,U","30.0","H,,U","11.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-23","20.9",",,U","31.1","H,,U","10.0","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-24","20.4",",,U","31.1","H,,U","11.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-25","20.2",",,U","30.6","H,,U","8.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-26","18.3",",,U","27.8","H,,U","10.0","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-27","14.7",",,U","20.0","H,,U","10.0","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-28","13.4",",,U","18.3","H,,U","7.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-29","13.8",",,U","20.0","H,,U","7.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-04-30","14.4",",,U","22.8","H,,U","6.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-01","18.2",",,U","27.2","H,,U","8.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-02","19.2",",,U","28.3","H,,U","7.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-03","19.4",",,U","30.0","H,,U","8.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-04","20.6",",,U","30.6","H,,U","9.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-05","21.0",",,U","30.0","H,,U","12.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-06","20.1",",,U","27.8","H,,U","12.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-07","22.6",",,U","33.3","H,,U","11.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-08","23.5",",,U","32.8","H,,U","13.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-09","22.3",",,U","30.6","H,,U","14.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-10","21.6",",,U","30.6","H,,U","12.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-11","22.2",",,U","28.3","H,,U","16.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-12","22.7",",,U","30.6","H,,U","16.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-13","18.2",",,U","25.0","H,,U","13.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-14","19.1",",,U","28.3","H,,U","10.0","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-15","18.1",",,U","24.4","H,,U","11.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-16","16.7",",,U","24.4","H,,U","12.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-17","19.9",",,U","28.3","H,,U","10.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-18","21.9",",,U","30.0","H,,U","11.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-19","21.2",",,U","30.0","H,,U","12.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-20","18.8",",,U","26.7","H,,U","10.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-21","21.2",",,U","32.2","H,,U","9.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-22","20.9",",,U","30.6","H,,U","12.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-23","18.2",",,U","25.6","H,,U","13.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-24","17.8",",,U","27.8","H,,U","10.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-25","15.8",",,U","21.1","H,,U","12.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-26","17.7",",,U","25.0","H,,U","13.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-27","24.1",",,U","35.0","H,,U","12.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-28","28.1",",,U","37.2","H,,U","17.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-29","28.5",",,U","37.8","H,,U","17.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-30","21.6",",,U","27.8","H,,U","16.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-05-31","17.9",",,U","24.4","H,,U","12.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-01","22.1",",,U","33.3","H,,U","10.0","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-02","27.0",",,U","38.9","H,,U","12.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-03","28.6",",,U","38.3","H,,U","16.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-04","27.1",",,U","36.1","H,,U","17.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-05","23.4",",,U","31.1","H,,U","13.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-06","22.5",",,U","30.6","H,,U","13.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-07","22.2",",,U","31.1","H,,U","11.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-08","24.5",",,U","34.4","H,,U","14.4","H,,U"
